No;DB010;DB020;DB040;DB090;HX040;HX050;HX090
72;2006;AT;Styria;616.3409091;1;1;6561
73;2006;AT;Lower Austria;574.0582011;3;2;15712.295
74;2006;AT;Lower Austria;515.1014493;2;1.5;9874.353333
75;2006;AT;Vienna;868.2204176;1;1;8958.72
76;2006;AT;Vienna;651.8676056;2;1.5;31088.64
77;2006;AT;Lower Austria;515.1014493;2;1.5;15466.9
78;2006;AT;Vienna;868.2204176;1;1;15888.61
79;2006;AT;Upper Austria;507.6995074;3;2;14537.975
80;2006;AT;Tyrol;679.7288136;1;1;18733.7
81;2006;AT;Styria;616.3409091;1;1;11482.41
82;2006;AT;Tyrol;504.5696203;3;1.8;9753.716667
83;2006;AT;Styria;616.3409091;1;1;10584.58
84;2006;AT;Styria;536.8923077;2;1.5;21279
85;2006;AT;Lower Austria;556.4260355;4;2.3;25493.91739
86;2006;AT;Upper Austria;507.6995074;3;2;31835.28
87;2006;AT;Tyrol;567.1543624;2;1.5;16729.30667
88;2006;AT;Upper Austria;643.2557252;1;1;12646.96
89;2006;AT;Lower Austria;556.4260355;4;2.5;21432.22
90;2006;AT;Upper Austria;493.7943925;2;1.5;2276.086667
91;2006;AT;Vienna;642.36;3;2;20299.875
92;2006;AT;Styria;616.3409091;1;1;13722.48
93;2006;AT;Styria;484.9344262;4;2.3;16756.98696
94;2006;AT;Lower Austria;515.1014493;2;1.5;24129.45333
95;2006;AT;Vienna;651.8676056;2;1.5;17276.1
96;2006;AT;Lower Austria;515.1014493;2;1.5;27515.34667
97;2006;AT;Carinthia;535.7936508;2;1.5;13292.79333
98;2006;AT;Styria;482.0213904;3;2;15542.33
99;2006;AT;Carinthia;527.6;3;2;27393.415
100;2006;AT;Upper Austria;643.2557252;1;1;17803.57
101;2006;AT;Upper Austria;507.6995074;3;1.8;4676.327778
102;2006;AT;Upper Austria;507.6995074;3;2;25348.08
103;2006;AT;Upper Austria;507.6995074;3;2;29804.295
104;2006;AT;Lower Austria;655.0646154;1;1;4995
105;2006;AT;Tyrol;567.1543624;2;1.5;19583.67333
106;2006;AT;Vienna;651.8676056;2;1.5;23612.68667
107;2006;AT;Styria;484.9344262;4;2.5;19518.428
108;2006;AT;Lower Austria;515.1014493;2;1.5;13257.41333
109;2006;AT;Upper Austria;475.3544304;5;3;26348.34667
110;2006;AT;Lower Austria;515.1014493;2;1.5;24898.01333
111;2006;AT;Vienna;868.2204176;1;1;12850.17
112;2006;AT;Burgenland;476;3;2;32230.695
113;2006;AT;Carinthia;527.6;3;2;87816.97
114;2006;AT;Upper Austria;493.7943925;2;1.5;9079.58
115;2006;AT;Carinthia;527.6;3;2;34952.1
116;2006;AT;Lower Austria;655.0646154;1;1;23822.68
117;2006;AT;Carinthia;527.6;3;2;29439.705
118;2006;AT;Vorarlberg;622;1;1;11066.69
119;2006;AT;Vienna;642.36;3;2;4080.575
120;2006;AT;Salzburg;532.7887324;4;2.5;23325.496
121;2006;AT;Upper Austria;493.7943925;2;1.5;14877.72667
122;2006;AT;Upper Austria;475.3544304;5;2.4;11661.11667
123;2006;AT;Vienna;868.2204176;1;1;27701.08
124;2006;AT;Carinthia;630.7863248;1;1;9801.51
125;2006;AT;Styria;536.8923077;2;1.5;18030.08
126;2006;AT;Upper Austria;643.2557252;1;1;13712.1
127;2006;AT;Carinthia;527.6;3;1.8;32639.75556
128;2006;AT;Styria;482.0213904;3;2;16095.05
129;2006;AT;Styria;536.8923077;2;1.5;14600.48667
130;2006;AT;Upper Austria;493.7943925;2;1.5;20156.12667
131;2006;AT;Lower Austria;655.0646154;1;1;20738.73
132;2006;AT;Upper Austria;493.7943925;2;1.5;20098.38
133;2006;AT;Vorarlberg;518.1666667;2;1.5;20657.47333
134;2006;AT;Salzburg;614.6862745;2;1.5;11862.52667
135;2006;AT;Burgenland;480.9878049;2;1.5;10185.14667
136;2006;AT;Carinthia;535.7936508;2;1.5;17386.00667
137;2006;AT;Lower Austria;574.0582011;3;2;7669.295
138;2006;AT;Lower Austria;655.0646154;1;1;12730.33
139;2006;AT;Vorarlberg;503.2222222;5;2.4;12289.31667
140;2006;AT;Vienna;868.2204176;1;1;8640.66
141;2006;AT;Vienna;651.8676056;2;1.5;18046.11333
142;2006;AT;Lower Austria;655.0646154;1;1;4337.09
143;2006;AT;Upper Austria;643.2557252;1;1;18906.35
144;2006;AT;Carinthia;439.3333333;7;3.4;14436.90588
145;2006;AT;Styria;482.0213904;3;1.8;22595.70556
146;2006;AT;Upper Austria;507.6995074;3;2;22925.125
147;2006;AT;Styria;484.9344262;4;2.1;10193.70952
148;2006;AT;Vienna;651.8676056;2;1.5;35071.49333
149;2006;AT;Vienna;642.36;3;2;23403.345
150;2006;AT;Vienna;868.2204176;1;1;16958.51
151;2006;AT;Salzburg;614.6862745;2;1.5;17763.36
152;2006;AT;Salzburg;532.7887324;4;2.3;11746.1913
153;2006;AT;Upper Austria;643.2557252;1;1;9567.51
154;2006;AT;Lower Austria;655.0646154;1;1;14716.62
155;2006;AT;Lower Austria;515.1014493;2;1.5;7371.7
156;2006;AT;Lower Austria;515.1014493;2;1.5;13467.03333
157;2006;AT;Upper Austria;507.6995074;3;1.8;18601.29444
158;2006;AT;Styria;536.8923077;2;1.5;29408.1
159;2006;AT;Upper Austria;419.6666667;6;3.1;40139.5129
160;2006;AT;Styria;482.0213904;3;1.8;8969.366667
161;2006;AT;Upper Austria;493.7943925;2;1.5;14545.45333
162;2006;AT;Styria;616.3409091;1;1;17216.06
163;2006;AT;Styria;616.3409091;1;1;9971.19
164;2006;AT;Vorarlberg;622;1;1;27290.48
165;2006;AT;Burgenland;480.9878049;2;1.5;21406.94667
166;2006;AT;Styria;482.0213904;3;1.8;15407.07778
167;2006;AT;Salzburg;693.3203883;1;1;10359.74
168;2006;AT;Styria;458.8;6;3.3;20633.08182
169;2006;AT;Lower Austria;515.1014493;2;1.3;13331.08462
170;2006;AT;Burgenland;521.0517241;1;1;14020.66
171;2006;AT;Lower Austria;556.4260355;4;2.1;23506.9
172;2006;AT;Vorarlberg;532.5909091;3;1.6;9884.2
173;2006;AT;Vorarlberg;518.1666667;2;1.5;19954.48
174;2006;AT;Styria;536.8923077;2;1.5;25018.24667
175;2006;AT;Vorarlberg;485.6792453;4;2.5;57322.892
176;2006;AT;Vienna;651.8676056;2;1.5;16069.62
177;2006;AT;Vienna;868.2204176;1;1;6855.93
178;2006;AT;Styria;482.0213904;3;1.6;13633.89375
179;2006;AT;Upper Austria;493.7943925;2;1.5;35644.44667
180;2006;AT;Styria;482.0213904;3;1.8;14881.92778
181;2006;AT;Salzburg;554.7636364;3;2;23712.18
182;2006;AT;Styria;536.8923077;2;1.5;29263.83333
183;2006;AT;Upper Austria;643.2557252;1;1;15430.87
184;2006;AT;Styria;482.0213904;3;2;17121.91
185;2006;AT;Styria;455.5714286;5;3;20443.26333
186;2006;AT;Upper Austria;643.2557252;1;1;15547.6
187;2006;AT;Lower Austria;515.1014493;2;1.5;18543.06667
188;2006;AT;Upper Austria;643.2557252;1;1;152207.78
189;2006;AT;Burgenland;476;3;2;34686.315
190;2006;AT;Styria;536.8923077;2;1.5;21349.16
191;2006;AT;Upper Austria;493.7943925;2;1.5;11998.68667
192;2006;AT;Carinthia;630.7863248;1;1;10335.68
193;2006;AT;Styria;616.3409091;1;1;9935.16
194;2006;AT;Vienna;868.2204176;1;1;25286.04
195;2006;AT;Vienna;651.8676056;2;1.5;34946.54667
196;2006;AT;Carinthia;518.6190476;4;2.3;18117.97826
197;2006;AT;Tyrol;567.1543624;2;1.5;11092.36667
198;2006;AT;Upper Austria;492.875;4;2.5;26726.148
199;2006;AT;Vienna;868.2204176;1;1;10363.37
200;2006;AT;Lower Austria;515.1014493;2;1.5;18406.83333
201;2006;AT;Salzburg;693.3203883;1;1;5545.97
202;2006;AT;Styria;616.3409091;1;1;10035.78
203;2006;AT;Vorarlberg;485.6792453;4;2.1;16340.00476
204;2006;AT;Salzburg;554.7636364;3;1.6;16832.88125
205;2006;AT;Carinthia;527.6;3;2;19416.97
206;2006;AT;Lower Austria;655.0646154;1;1;23314.55
207;2006;AT;Vorarlberg;622;1;1;15654.83
208;2006;AT;Vorarlberg;622;1;1;10142.96
209;2006;AT;Vienna;868.2204176;1;1;14520.96
210;2006;AT;Vienna;651.8676056;2;1.5;14164.42
211;2006;AT;Lower Austria;556.4260355;4;2.5;41706.568
212;2006;AT;Salzburg;532.7887324;4;2.5;20518.744
213;2006;AT;Styria;482.0213904;3;1.8;13741.48333
214;2006;AT;Upper Austria;643.2557252;1;1;34140.38
215;2006;AT;Upper Austria;507.6995074;3;2;16844.98
216;2006;AT;Lower Austria;515.1014493;2;1.5;44756.76
217;2006;AT;Vorarlberg;622;1;1;20115.22
218;2006;AT;Tyrol;567.1543624;2;1.5;16773.81333
219;2006;AT;Burgenland;476;3;2;29476.79
220;2006;AT;Lower Austria;655.0646154;1;1;13915.97
221;2006;AT;Upper Austria;507.6995074;3;1.8;50446.72778
222;2006;AT;Vorarlberg;485.6792453;4;2.1;31702.62381
223;2006;AT;Vorarlberg;622;1;1;10452.59
224;2006;AT;Vienna;868.2204176;1;1;9918.74
225;2006;AT;Vienna;868.2204176;1;1;20735.92
226;2006;AT;Tyrol;567.1543624;2;1.5;10295.83333
227;2006;AT;Lower Austria;655.0646154;1;1;26890.62
228;2006;AT;Styria;482.0213904;3;2;19296.845
229;2006;AT;Vorarlberg;503.2222222;5;2.8;7645.107143
230;2006;AT;Vienna;651.8676056;2;1.5;20829.42
231;2006;AT;Vienna;868.2204176;1;1;330.32
232;2006;AT;Vienna;868.2204176;1;1;26502.25
233;2006;AT;Vienna;642.36;3;2;6521.68
234;2006;AT;Lower Austria;515.1014493;2;1.5;35655.27333
235;2006;AT;Vienna;651.8676056;2;1.5;17644.06667
236;2006;AT;Lower Austria;556.4260355;4;2.1;9605.866667
237;2006;AT;Upper Austria;643.2557252;1;1;10125.89
238;2006;AT;Styria;536.8923077;2;1.5;13832.80667
239;2006;AT;Styria;482.0213904;3;2;37389.26
240;2006;AT;Carinthia;527.6;3;1.8;15579.00556
241;2006;AT;Lower Austria;515.1014493;2;1.5;15860.33333
242;2006;AT;Tyrol;475.2972973;5;2.4;18025.89583
243;2006;AT;Lower Austria;515.1014493;2;1.5;14414.07333
244;2006;AT;Upper Austria;492.875;4;2.5;5409.308
245;2006;AT;Carinthia;535.7936508;2;1.5;19970.57333
246;2006;AT;Lower Austria;538.1707317;5;2.4;18325.3875
247;2006;AT;Burgenland;521.0517241;1;1;18562.08
248;2006;AT;Vienna;651.8676056;2;1.5;29481.43333
249;2006;AT;Styria;616.3409091;1;1;26661.94
250;2006;AT;Upper Austria;507.6995074;3;1.8;13104.32778
251;2006;AT;Tyrol;493.3823529;4;2.1;14469.78571
252;2006;AT;Styria;458.8;6;3.5;22489.09714
253;2006;AT;Styria;616.3409091;1;1;19457.67
254;2006;AT;Burgenland;521.0517241;1;1;11065.32
255;2006;AT;Carinthia;630.7863248;1;1;19933.75
256;2006;AT;Tyrol;567.1543624;2;1.5;22130.23333
257;2006;AT;Styria;482.0213904;3;2;49536.095
258;2006;AT;Salzburg;532.7887324;4;2.1;15548.43333
259;2006;AT;Lower Austria;515.1014493;2;1.5;23124.16
260;2006;AT;Vienna;651.8676056;2;1.5;11835.7
261;2006;AT;Vienna;642.36;3;1.8;20483.72222
262;2006;AT;Burgenland;521.0517241;1;1;26330.56
263;2006;AT;Styria;536.8923077;2;1.5;20887.35333
264;2006;AT;Burgenland;480.9878049;2;1.5;14395.99333
265;2006;AT;Lower Austria;459.75;7;3.8;21498.41842
266;2006;AT;Lower Austria;655.0646154;1;1;15859.34
267;2006;AT;Vorarlberg;485.6792453;4;2.1;15175.69048
268;2006;AT;Carinthia;630.7863248;1;1;10761.64
269;2006;AT;Upper Austria;507.6995074;3;2;34022.725
270;2006;AT;Carinthia;630.7863248;1;1;18807.22
271;2006;AT;Upper Austria;507.6995074;3;2;50234
272;2006;AT;Upper Austria;492.875;4;2.5;23950.452
273;2006;AT;Salzburg;532.7887324;4;2.3;18579.78261
274;2006;AT;Carinthia;527.6;3;1.8;16562.61111
275;2006;AT;Carinthia;535.7936508;2;1.5;3745.033333
276;2006;AT;Styria;482.0213904;3;1.6;5329.3375
277;2006;AT;Tyrol;504.5696203;3;1.8;9904.583333
278;2006;AT;Vorarlberg;503.2222222;5;3;12090.08
279;2006;AT;Lower Austria;515.1014493;2;1.5;13585.70667
280;2006;AT;Lower Austria;556.4260355;4;2.5;23546.42
281;2006;AT;Styria;482.0213904;3;2;25712.775
282;2006;AT;Upper Austria;493.7943925;2;1.5;13666.39333
283;2006;AT;Tyrol;493.3823529;4;2.1;21121.9381
284;2006;AT;Styria;616.3409091;1;1;11115.55
285;2006;AT;Burgenland;480.9878049;2;1.5;11749.95333
286;2006;AT;Vienna;868.2204176;1;1;17419.07
287;2006;AT;Vorarlberg;518.1666667;2;1.5;22942
288;2006;AT;Tyrol;475.2972973;5;2.8;12962.86786
289;2006;AT;Salzburg;532.7887324;4;2.3;18726.98261
290;2006;AT;Vorarlberg;622;1;1;21729.73
291;2006;AT;Lower Austria;515.1014493;2;1.5;8184.86
292;2006;AT;Tyrol;493.3823529;4;2.5;31843.408
293;2006;AT;Upper Austria;493.7943925;2;1.5;19820.45333
294;2006;AT;Vienna;666.9791667;4;2.1;1034.466667
295;2006;AT;Lower Austria;574.0582011;3;2;23886.31
296;2006;AT;Lower Austria;515.1014493;2;1.5;14366.14
297;2006;AT;Salzburg;532.7887324;4;2.1;22611.28095
298;2006;AT;Vienna;635.4571429;5;2.4;7025.833333
299;2006;AT;Upper Austria;493.7943925;2;1.5;36843.73333
300;2006;AT;Styria;536.8923077;2;1.5;20454.18
301;2006;AT;Lower Austria;574.0582011;3;1.8;14935.14444
302;2006;AT;Carinthia;527.6;3;2;24164.225
303;2006;AT;Upper Austria;493.7943925;2;1.5;25912.98667
304;2006;AT;Vorarlberg;532.5909091;3;1.8;14594.30556
305;2006;AT;Lower Austria;574.0582011;3;2;21745.175
306;2006;AT;Tyrol;567.1543624;2;1.5;39201.9
307;2006;AT;Lower Austria;515.1014493;2;1.5;19338.95333
308;2006;AT;Upper Austria;507.6995074;3;1.8;18677.11111
309;2006;AT;Salzburg;693.3203883;1;1;13942.48
310;2006;AT;Styria;536.8923077;2;1.5;18610.24667
311;2006;AT;Tyrol;679.7288136;1;1;15351.66
312;2006;AT;Tyrol;679.7288136;1;1;8791.05
313;2006;AT;Vienna;868.2204176;1;1;41820.54
314;2006;AT;Upper Austria;643.2557252;1;1;3106.72
315;2006;AT;Upper Austria;492.875;4;2.1;15402.28095
316;2006;AT;Styria;616.3409091;1;1;17932.1
317;2006;AT;Lower Austria;515.1014493;2;1.5;15831.29333
318;2006;AT;Styria;616.3409091;1;1;10136.29
319;2006;AT;Upper Austria;643.2557252;1;1;17359.31
320;2006;AT;Styria;616.3409091;1;1;9109.88
321;2006;AT;Tyrol;504.5696203;3;2;20589.98
322;2006;AT;Styria;482.0213904;3;2;23687.32
323;2006;AT;Lower Austria;655.0646154;1;1;11748.66
324;2006;AT;Salzburg;614.6862745;2;1.5;23261.31333
325;2006;AT;Styria;616.3409091;1;1;27008.01
326;2006;AT;Vienna;651.8676056;2;1.3;6602.353846
327;2006;AT;Carinthia;527.6;3;2;16829.495
328;2006;AT;Lower Austria;655.0646154;1;1;18004.25
329;2006;AT;Upper Austria;507.6995074;3;1.8;22600.54444
330;2006;AT;Vorarlberg;485.6792453;4;2.1;11018.69048
331;2006;AT;Vienna;868.2204176;1;1;18279.42
332;2006;AT;Tyrol;493.3823529;4;2.1;9139.62381
333;2006;AT;Tyrol;567.1543624;2;1.5;20558.27333
334;2006;AT;Styria;616.3409091;1;1;14254.82
335;2006;AT;Upper Austria;475.3544304;5;3;15540.11667
336;2006;AT;Lower Austria;556.4260355;4;2.3;16891.49565
337;2006;AT;Lower Austria;655.0646154;1;1;8388.74
338;2006;AT;Upper Austria;475.3544304;5;2.6;19992.38846
339;2006;AT;Lower Austria;556.4260355;4;2.5;36093.652
340;2006;AT;Styria;484.9344262;4;2.1;12823.37619
341;2006;AT;Vorarlberg;622;1;1;20840.09
342;2006;AT;Upper Austria;419.6666667;6;3.3;23961.38788
343;2006;AT;Upper Austria;492.875;4;2.1;38219.8619
344;2006;AT;Upper Austria;643.2557252;1;1;6880.66
345;2006;AT;Vienna;868.2204176;1;1;7607.84
346;2006;AT;Lower Austria;515.1014493;2;1.5;11046.96667
347;2006;AT;Tyrol;567.1543624;2;1.5;29882.63333
348;2006;AT;Vienna;635.4571429;5;2.6;29476.05385
349;2006;AT;Vienna;868.2204176;1;1;34297.72
350;2006;AT;Upper Austria;507.6995074;3;2;13277.665
351;2006;AT;Tyrol;493.3823529;4;2.3;5269.056522
352;2006;AT;Salzburg;693.3203883;1;1;9386.31
353;2006;AT;Lower Austria;556.4260355;4;2.1;20310.85714
354;2006;AT;Vienna;868.2204176;1;1;11808.18
355;2006;AT;Vienna;868.2204176;1;1;25881.48
356;2006;AT;Vienna;642.36;3;2;44173.79
357;2006;AT;Upper Austria;643.2557252;1;1;18792.16
358;2006;AT;Carinthia;535.7936508;2;1.5;14099.22667
359;2006;AT;Burgenland;480.9878049;2;1.5;7956
360;2006;AT;Vienna;651.8676056;2;1.5;32503.41333
361;2006;AT;Styria;482.0213904;3;2;10113.95
362;2006;AT;Lower Austria;655.0646154;1;1;21965.14
363;2006;AT;Lower Austria;515.1014493;2;1.5;31956.44
364;2006;AT;Upper Austria;492.875;4;2.5;9215.508
365;2006;AT;Lower Austria;556.4260355;4;2.3;19884.83478
366;2006;AT;Carinthia;535.7936508;2;1.5;21516.7
367;2006;AT;Tyrol;679.7288136;1;1;31112.86
368;2006;AT;Burgenland;498.5757576;4;2.3;20381.93043
369;2006;AT;Carinthia;630.7863248;1;1;16511.59
370;2006;AT;Lower Austria;655.0646154;1;1;6575.14
371;2006;AT;Salzburg;693.3203883;1;1;22300.18
372;2006;AT;Upper Austria;493.7943925;2;1.5;9535.686667
373;2006;AT;Upper Austria;643.2557252;1;1;15681.77
374;2006;AT;Styria;536.8923077;2;1.5;64595.7
375;2006;AT;Upper Austria;493.7943925;2;1.5;9314.633333
376;2006;AT;Styria;616.3409091;1;1;6116.52
377;2006;AT;Vorarlberg;503.2222222;5;2.4;11826.71667
378;2006;AT;Vienna;651.8676056;2;1.5;11406.45333
379;2006;AT;Lower Austria;556.4260355;4;2.3;10526.4
380;2006;AT;Tyrol;679.7288136;1;1;7013.47
381;2006;AT;Lower Austria;655.0646154;1;1;17061.29
382;2006;AT;Styria;484.9344262;4;2.5;15277.08
383;2006;AT;Vienna;651.8676056;2;1.5;28015.48667
384;2006;AT;Vienna;868.2204176;1;1;28590.14
385;2006;AT;Upper Austria;492.875;4;2.5;15646.352
386;2006;AT;Lower Austria;556.4260355;4;2.5;21073.42
387;2006;AT;Styria;455.5714286;5;2.4;15722.10417
388;2006;AT;Salzburg;693.3203883;1;1;11914.25
389;2006;AT;Upper Austria;492.875;4;2.1;23946.61429
390;2006;AT;Tyrol;567.1543624;2;1.5;30748.56667
391;2006;AT;Styria;536.8923077;2;1.3;16677.56923
392;2006;AT;Vienna;651.8676056;2;1.5;22402.54
393;2006;AT;Vienna;868.2204176;1;1;26723.85
394;2006;AT;Vienna;651.8676056;2;1.5;28048.04
395;2006;AT;Carinthia;630.7863248;1;1;30256.22
396;2006;AT;Tyrol;567.1543624;2;1.5;22250.66667
397;2006;AT;Salzburg;532.7887324;4;2.1;5776.4
398;2006;AT;Tyrol;567.1543624;2;1.5;11602.28
399;2006;AT;Vienna;868.2204176;1;1;15225.36
400;2006;AT;Vorarlberg;503.2222222;5;3;12442.51667
401;2006;AT;Styria;536.8923077;2;1.5;22110.19333
402;2006;AT;Styria;482.0213904;3;2;18005.55
403;2006;AT;Vienna;868.2204176;1;1;26488.7
404;2006;AT;Burgenland;476;3;2;25871.72
405;2006;AT;Styria;536.8923077;2;1.5;17875.36
406;2006;AT;Vienna;651.8676056;2;1.5;64678.92667
407;2006;AT;Vienna;642.36;3;2;32682.38
408;2006;AT;Tyrol;489.375;6;3.1;18145.40968
409;2006;AT;Styria;484.9344262;4;2.5;17842.324
410;2006;AT;Upper Austria;643.2557252;1;1;11409.96
411;2006;AT;Lower Austria;515.1014493;2;1.5;19632.88
412;2006;AT;Lower Austria;556.4260355;4;2.5;30312.556
413;2006;AT;Lower Austria;655.0646154;1;1;19867.59
414;2006;AT;Lower Austria;538.1707317;5;2.6;13708.38077
415;2006;AT;Upper Austria;507.6995074;3;2;18922.4
416;2006;AT;Lower Austria;515.1014493;2;1.5;20644.19333
417;2006;AT;Styria;616.3409091;1;1;14335.47
418;2006;AT;Vorarlberg;518.1666667;2;1.5;37097.36
419;2006;AT;Upper Austria;493.7943925;2;1.5;14014.38667
420;2006;AT;Upper Austria;643.2557252;1;1;21608.22
421;2006;AT;Upper Austria;643.2557252;1;1;9938.38
422;2006;AT;Vorarlberg;622;1;1;24461.24
423;2006;AT;Lower Austria;515.1014493;2;1.5;29099.8
424;2006;AT;Vienna;868.2204176;1;1;23811.79
425;2006;AT;Upper Austria;643.2557252;1;1;8744.75
426;2006;AT;Upper Austria;492.875;4;2.1;17029.3381
427;2006;AT;Lower Austria;574.0582011;3;1.8;34485.95556
428;2006;AT;Lower Austria;538.1707317;5;2.8;20905.63214
429;2006;AT;Lower Austria;515.1014493;2;1.5;29043.29333
430;2006;AT;Styria;482.0213904;3;1.8;16237.02222
431;2006;AT;Lower Austria;515.1014493;2;1.5;12709.18667
432;2006;AT;Carinthia;535.7936508;2;1.5;18313.60667
433;2006;AT;Vienna;868.2204176;1;1;14741.93
434;2006;AT;Vienna;651.8676056;2;1.5;24456.2
435;2006;AT;Vienna;651.8676056;2;1.5;35922.65333
436;2006;AT;Vienna;868.2204176;1;1;12873.29
437;2006;AT;Vorarlberg;518.1666667;2;1.3;27285.16923
438;2006;AT;Salzburg;614.6862745;2;1.5;19475.70667
439;2006;AT;Burgenland;357.8571429;5;3;30428.82667
440;2006;AT;Styria;536.8923077;2;1.5;27286.10667
441;2006;AT;Vienna;868.2204176;1;1;14982.37
442;2006;AT;Vorarlberg;518.1666667;2;1.5;38314.36667
443;2006;AT;Salzburg;614.6862745;2;1.5;46829.4
444;2006;AT;Upper Austria;493.7943925;2;1.5;33597.94
445;2006;AT;Tyrol;679.7288136;1;1;25237.26
446;2006;AT;Upper Austria;493.7943925;2;1.5;16047.12667
447;2006;AT;Styria;484.9344262;4;2.1;33466.48571
448;2006;AT;Vienna;651.8676056;2;1.5;25686.04
449;2006;AT;Styria;536.8923077;2;1.5;13238.92667
450;2006;AT;Styria;536.8923077;2;1.5;8109.54
451;2006;AT;Tyrol;493.3823529;4;2.1;12751.20476
452;2006;AT;Lower Austria;655.0646154;1;1;14107.84
453;2006;AT;Lower Austria;655.0646154;1;1;17887.59
454;2006;AT;Lower Austria;574.0582011;3;2;29124.73
455;2006;AT;Carinthia;630.7863248;1;1;21149.93
456;2006;AT;Upper Austria;643.2557252;1;1;16153.43
457;2006;AT;Salzburg;614.6862745;2;1.3;11037
458;2006;AT;Vienna;642.36;3;2;19209.49
459;2006;AT;Carinthia;535.7936508;2;1.5;14483.3
460;2006;AT;Upper Austria;643.2557252;1;1;17886.76
